"dms_orig","dms_dest","sctg2","dms_mode","thousand tons in 2019","million dollars in 2019","million ton-miles in 2019","thousand tons in 2024","million dollars in 2024","million ton-miles in 2024","thousand tons in 2030","thousand tons in 2030_low","thousand tons in 2030_high","million dollars in 2030","million dollars in 2030_low","million dollars in 2030_high","million ton-miles in 2030"
"011-Birmingham AL","011-Birmingham AL","14-Metallic ores","1-Truck","0.7979","0.2515","0.0316","0.7647","0.241","0.0303","0.8657","0.8585","0.9136","0.2728","0.2706","0.288","0.0343"
"011-Birmingham AL","011-Birmingham AL","15-Coal","1-Truck","3889.6427","260.3397","116.9759","3443.3999","230.472","103.5557","2179.0815","2160.8311","2301.599","145.8492","144.6277","154.0495","65.533"
"011-Birmingham AL","019-Rest of AL","15-Coal","1-Truck","26.1426","2.9859","2.4495","23.1434","2.6434","2.1685","17.247","17.1045","18.2065","1.9699","1.9536","2.0795","1.616"
"011-Birmingham AL","131-Atlanta GA","14-Metallic ores","1-Truck","0.0103","0.0275","0.0017","0.0099","0.0263","0.0017","0.0082","0.0081","0.0087","0.0218","0.0216","0.0232","0.0014"
"011-Birmingham AL","280-Mississippi","15-Coal","1-Truck","0.0936","0.0194","0.0211","0.0828","0.0171","0.0186","0.0502","0.0488","0.0535","0.0104","0.0101","0.0111","0.0113"
"011-Birmingham AL","299-Rest of MO","14-Metallic ores","1-Truck","0.1964","0.1437","0.1043","0.1882","0.1377","0.1","0.2757","0.2734","0.2911","0.2017","0.2","0.213","0.1464"
"011-Birmingham AL","362-Buffalo NY  CFS Area","15-Coal","1-Truck","3.9323","0.9815","3.6004","3.4811","0.8689","3.1874","1.3859","1.372","1.4563","0.3459","0.3424","0.3635","1.269"
"011-Birmingham AL","392-Cleveland OH","14-Metallic ores","1-Truck","41.9985","232.2005","30.4683","40.2532","222.5513","29.2022","58.9747","58.4663","62.8343","326.0579","323.2471","347.3969","42.7838"
"011-Birmingham AL","399-Rest of OH","15-Coal","1-Truck","11.0572","1.0059","7.1869","9.7886","0.8905","6.3624","5.3702","5.3222","5.785","0.4885","0.4842","0.5263","3.4905"
"011-Birmingham AL","540-West Virginia","15-Coal","1-Truck","13.9614","2.0108","8.1941","12.3597","1.7801","7.2541","6.6946","6.5867","7.3261","0.9642","0.9486","1.0551","3.9291"
"019-Rest of AL","011-Birmingham AL","14-Metallic ores","1-Truck","12.0156","1.9925","1.1459","11.5163","1.9097","1.0983","9.7226","9.6417","10.2283","1.6123","1.5989","1.6961","0.9272"
"019-Rest of AL","011-Birmingham AL","15-Coal","1-Truck","0.2337","0.1922","0.0187","0.2069","0.1701","0.0166","0.0978","0.097","0.1032","0.0804","0.0798","0.0849","0.0078"
"019-Rest of AL","011-Birmingham AL","15-Coal","2-Rail","0.3415","0.0897","0.0347","0.3023","0.0795","0.0307","0.1429","0.1417","0.1509","0.0376","0.0372","0.0396","0.0145"
"019-Rest of AL","012-Mobile AL","15-Coal","1-Truck","0.3649","0.1142","0.0891","0.323","0.1011","0.0789","0.1563","0.1547","0.165","0.0489","0.0484","0.0517","0.0382"
"019-Rest of AL","012-Mobile AL","15-Coal","2-Rail","1492.5763","264.2725","403.8624","1321.3391","233.9536","357.5289","639.3124","632.5637","674.9613","113.1954","112.0004","119.5073","172.9856"
"019-Rest of AL","012-Mobile AL","15-Coal","3-Water","413.7172","103.4758","163.4894","366.2531","91.6044","144.733","177.2067","175.3361","187.088","44.3216","43.8537","46.793","70.0271"
"019-Rest of AL","019-Rest of AL","14-Metallic ores","1-Truck","0.0001","0.011","0","0.0001","0.0105","0","0.0001","0.0001","0.0001","0.0103","0.0102","0.0108","0"
"019-Rest of AL","019-Rest of AL","15-Coal","2-Rail","86.8744","7.3204","9.4596","76.9077","6.4805","8.3744","42.8132","42.4594","45.1699","3.6076","3.5778","3.8062","4.6619"
"019-Rest of AL","019-Rest of AL","15-Coal","3-Water","459.9341","119.9359","157.3801","407.1678","106.1761","139.3245","226.6636","224.7903","239.1401","59.1065","58.618","62.36","77.5597"
"019-Rest of AL","132-Savannah GA","14-Metallic ores","1-Truck","4.3974","0.1134","1.8383","4.2146","0.1087","1.7619","3.6009","3.5649","3.8165","0.0929","0.092","0.0984","1.5054"
"019-Rest of AL","139-Rest of GA","14-Metallic ores","1-Truck","0.0582","0.7725","0.0172","0.0558","0.7404","0.0165","0.0464","0.046","0.0492","0.6161","0.61","0.6526","0.0138"
"019-Rest of AL","189-Rest of IN","14-Metallic ores","1-Truck","9.9895","1.9995","4.5961","9.5743","1.9164","4.4051","6.7696","6.7342","7.1015","1.355","1.3479","1.4214","3.1147"
"019-Rest of AL","219-Rest of KY","14-Metallic ores","1-Truck","14.9902","3.0019","5.9125","14.3672","2.8772","5.6668","13.7729","13.3043","14.6767","2.7581","2.6643","2.9391","5.4324"
"019-Rest of AL","292-St. Louis MO-IL (MO Part)","14-Metallic ores","1-Truck","0.419","0.9695","0.205","0.4016","0.9292","0.1965","0.3305","0.3259","0.3486","0.7648","0.754","0.8066","0.1617"
"019-Rest of AL","372-Greensboro--Winston-Salem--High Point NC","14-Metallic ores","1-Truck","27.0035","3.995","14.2558","25.8813","3.829","13.6634","22.4055","22.2381","23.35","3.3148","3.29","3.4545","11.8285"
"019-Rest of AL","393-Columbus OH","14-Metallic ores","1-Truck","5.0155","1.0236","3.0467","4.807","0.981","2.9201","5.6365","5.5913","6.0236","1.1503","1.1411","1.2293","3.424"
"019-Rest of AL","399-Rest of OH","14-Metallic ores","1-Truck","7.0225","1","4.5186","6.7306","0.9585","4.3308","5.0331","4.9906","5.3775","0.7167","0.7107","0.7658","3.2386"
"019-Rest of AL","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","1.0011","0.1245","0.7783","0.9595","0.1193","0.746","1.3667","1.3507","1.464","0.1699","0.1679","0.182","1.0626"
"019-Rest of AL","429-Rest of PA","14-Metallic ores","1-Truck","8.0433","1.0002","6.9778","7.7091","0.9587","6.6879","6.6041","6.5222","7.1116","0.8213","0.8111","0.8844","5.7293"
"019-Rest of AL","429-Rest of PA","14-Metallic ores","2-Rail","4.6731","0.6248","4.4377","4.479","0.5988","4.2533","3.837","3.7894","4.1318","0.513","0.5066","0.5524","3.6437"
"020-Alaska","020-Alaska","14-Metallic ores","1-Truck","0.0915","6.0047","0.0171","0.0877","5.7552","0.0164","0.0797","0.0746","0.0976","5.2279","4.8973","6.4032","0.0149"
"020-Alaska","020-Alaska","14-Metallic ores","2-Rail","0.908","7.0067","0.1002","0.8703","6.7155","0.096","0.7906","0.7406","0.9683","6.1002","5.7145","7.4716","0.0872"
"020-Alaska","020-Alaska","15-Coal","2-Rail","794.0969","39.5286","124.3057","703.2482","35.0063","110.0845","403.5272","378.0403","494.2037","20.0868","18.8181","24.6005","63.167"
"041-Phoenix AZ","041-Phoenix AZ","14-Metallic ores","1-Truck","35.0904","39.0803","1.0241","33.6322","37.4563","0.9815","42.3401","41.2243","46.7489","47.1543","45.9117","52.0644","1.2356"
"041-Phoenix AZ","041-Phoenix AZ","15-Coal","1-Truck","0.3823","0.7173","0.0038","0.1653","0.3101","0.0016","0.3369","0.3279","0.372","0.632","0.6152","0.6979","0.0033"
"041-Phoenix AZ","049-Rest of AZ","14-Metallic ores","2-Rail","78.9131","343.0194","13.6017","75.6338","328.765","13.0364","85.514","83.9469","94.491","371.712","364.9002","410.7333","14.7394"
"041-Phoenix AZ","485-El Paso TX-NM (TX Part)","14-Metallic ores","1-Truck","0.0011","0.0005","0.0004","0.001","0.0005","0.0004","0.0014","0.0013","0.0016","0.0007","0.0006","0.0008","0.0006"
"042-Tucson AZ","019-Rest of AL","14-Metallic ores","1-Truck","8.4737","3.9079","13.7171","8.1216","3.7455","13.1471","7.7672","7.7043","8.3499","3.5821","3.5531","3.8508","12.5734"
"042-Tucson AZ","041-Phoenix AZ","14-Metallic ores","1-Truck","655.484","1007.5965","65.2116","628.2449","965.7252","62.5017","633.3077","616.619","698.605","973.5076","947.8541","1073.8814","63.0053"
"042-Tucson AZ","042-Tucson AZ","14-Metallic ores","1-Truck","0","0.0001","0","0","0.0001","0","0","0","0","0.0001","0.0001","0.0001","0"
"042-Tucson AZ","049-Rest of AZ","14-Metallic ores","1-Truck","306.1756","890.4195","67.0399","293.4523","853.4176","64.254","265.6736","260.805","293.2911","772.6317","758.4729","852.949","58.1717"
"042-Tucson AZ","061-Los Angeles CA","14-Metallic ores","1-Truck","1.9138","1.6649","0.9111","1.8343","1.5957","0.8732","2.641","2.5843","3.005","2.2975","2.2481","2.6141","1.2573"
"042-Tucson AZ","131-Atlanta GA","14-Metallic ores","1-Truck","0.0072","0.1024","0.0127","0.0069","0.0982","0.0122","0.0042","0.0041","0.0045","0.0594","0.0589","0.0646","0.0074"
"042-Tucson AZ","139-Rest of GA","14-Metallic ores","1-Truck","24.1879","1.8848","44.388","23.1827","1.8065","42.5434","18.9075","18.7184","20.5321","1.4733","1.4586","1.5999","34.6978"
"042-Tucson AZ","171-Chicago IL-IN-WI (IL Part)","14-Metallic ores","1-Truck","0","0.0001","0.0001","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0001"
"042-Tucson AZ","259-Rest of MA","14-Metallic ores","1-Truck","1.9627","1.0496","5.3071","1.8812","1.0059","5.0866","1.2703","1.2576","1.3395","0.6793","0.6725","0.7163","3.4349"
"042-Tucson AZ","484-Dallas-Fort Worth TX-OK (TX Part)","14-Metallic ores","1-Truck","5.0458","1.2459","4.9078","4.8361","1.1941","4.7039","4.1469","3.709","4.5984","1.0239","0.9158","1.1354","4.0336"
"042-Tucson AZ","486-Houston TX","14-Metallic ores","1-Truck","0.0005","0.0046","0.0006","0.0005","0.0044","0.0005","0.0004","0.0003","0.0004","0.0033","0.003","0.0036","0.0004"
"042-Tucson AZ","489-Rest of TX","14-Metallic ores","1-Truck","0.7257","0.6792","0.6132","0.6955","0.651","0.5877","0.8198","0.727","0.9158","0.7673","0.6804","0.8571","0.6927"
"049-Rest of AZ","041-Phoenix AZ","14-Metallic ores","1-Truck","688.2098","1220.3432","113.0256","659.6109","1169.6312","108.3288","512.2457","498.7472","566.0198","908.3211","884.3854","1003.6742","84.1268"
"049-Rest of AZ","042-Tucson AZ","14-Metallic ores","1-Truck","9.0394","79.3683","1.9963","8.6637","76.0701","1.9133","5.7404","5.6101","6.3371","50.4022","49.2585","55.6417","1.2677"
"049-Rest of AZ","049-Rest of AZ","14-Metallic ores","2-Rail","22.9471","119.2361","3.2205","21.9936","114.2812","3.0867","15.3395","15.0584","16.9628","79.7059","78.2452","88.1408","2.1528"
"049-Rest of AZ","049-Rest of AZ","15-Coal","2-Rail","8530.1948","187.401","1853.5407","3687.3838","81.0087","801.238","4091.2266","4016.4177","4524.3275","89.8807","88.2372","99.3956","888.9897"
"049-Rest of AZ","190-Iowa","14-Metallic ores","1-Truck","9.909","75.8861","13.9468","9.4972","72.7326","13.3672","9.0027","8.9127","9.6107","68.9456","68.2562","73.602","12.6712"
"049-Rest of AZ","485-El Paso TX-NM (TX Part)","14-Metallic ores","1-Truck","0.0029","0.4294","0.0013","0.0028","0.4115","0.0012","0.0024","0.0022","0.0026","0.3526","0.3233","0.3871","0.0011"
"050-Arkansas","012-Mobile AL","14-Metallic ores","1-Truck","0.3034","6.4072","0.1556","0.2908","6.1409","0.1491","0.1939","0.1919","0.2146","4.0953","4.0533","4.5324","0.0995"
"050-Arkansas","019-Rest of AL","14-Metallic ores","1-Truck","0.1252","1.9942","0.0577","0.12","1.9114","0.0553","0.1119","0.111","0.124","1.7819","1.7675","1.9754","0.0516"
"050-Arkansas","050-Arkansas","14-Metallic ores","1-Truck","36.8831","2.9817","5.6128","35.3504","2.8578","5.3795","76.727","73.8593","89.9242","6.2027","5.9709","7.2696","11.6761"
"050-Arkansas","061-Los Angeles CA","14-Metallic ores","1-Truck","1.0283","7.9873","1.6533","0.9856","7.6554","1.5846","1.3833","1.3535","1.623","10.7447","10.5136","12.6071","2.2241"
"050-Arkansas","063-San Diego CA","14-Metallic ores","1-Truck","0.0002","0.0392","0.0004","0.0002","0.0376","0.0004","0.0003","0.0003","0.0003","0.0485","0.0475","0.0569","0.0005"
"050-Arkansas","064-San Francisco CA","14-Metallic ores","1-Truck","0.1286","2.9909","0.2457","0.1233","2.8666","0.2355","0.146","0.1434","0.1727","3.3951","3.3345","4.0156","0.2789"
"050-Arkansas","081-Denver CO","14-Metallic ores","1-Truck","0.1236","2.9858","0.1172","0.1185","2.8617","0.1123","0.1072","0.0984","0.1249","2.5889","2.3774","3.0182","0.1016"
"050-Arkansas","089-Rest of CO","14-Metallic ores","1-Truck","0.0859","0.1912","0.0824","0.0824","0.1833","0.079","0.0977","0.0896","0.1144","0.2174","0.1994","0.2545","0.0937"
"050-Arkansas","123-Orlando FL","14-Metallic ores","1-Truck","0.3844","4.1425","0.3564","0.3684","3.9703","0.3416","0.3143","0.3095","0.3448","3.3873","3.3355","3.7158","0.2914"
"050-Arkansas","124-Tampa FL","14-Metallic ores","1-Truck","0.1249","5.9917","0.1193","0.1197","5.7427","0.1144","0.0868","0.0857","0.0951","4.1625","4.1085","4.5618","0.0829"
"050-Arkansas","131-Atlanta GA","14-Metallic ores","1-Truck","0.3428","2.52","0.2023","0.3285","2.4152","0.1939","0.1939","0.1919","0.2173","1.4254","1.4112","1.5979","0.1145"
"050-Arkansas","171-Chicago IL-IN-WI (IL Part)","14-Metallic ores","1-Truck","1.0007","8.9922","0.6346","0.9591","8.6186","0.6082","1.1853","1.1661","1.3214","10.6505","10.4785","11.874","0.7516"
"050-Arkansas","219-Rest of KY","14-Metallic ores","1-Truck","0","0.0001","0","0","0.0001","0","0","0","0","0.0001","0.0001","0.0001","0"
"050-Arkansas","221-Baton Rouge LA","14-Metallic ores","1-Truck","0.1245","4.9714","0.052","0.1193","4.7648","0.0499","0.0892","0.0867","0.1048","3.5635","3.4621","4.1866","0.0373"
"050-Arkansas","229-Rest of LA","14-Metallic ores","1-Truck","0.9972","5.9324","0.3064","0.9557","5.6859","0.2936","1.1343","1.0984","1.3397","6.7485","6.5346","7.9704","0.3485"
"050-Arkansas","280-Mississippi","14-Metallic ores","1-Truck","25.0774","5.5543","7.9081","24.0353","5.3235","7.5795","15.1438","14.7638","16.9741","3.3542","3.27","3.7595","4.7755"
"050-Arkansas","300-Montana","14-Metallic ores","1-Truck","0.1369","5.1051","0.2042","0.1312","4.893","0.1957","0.1565","0.153","0.1837","5.8361","5.7063","6.8506","0.2334"
"050-Arkansas","329-Rest of NV","14-Metallic ores","1-Truck","0.2653","1.0264","0.4571","0.2543","0.9838","0.4381","0.3177","0.3064","0.3626","1.229","1.1852","1.403","0.5474"
"050-Arkansas","364-Rochester NY","14-Metallic ores","1-Truck","0.3935","3.1445","0.4503","0.3771","3.0138","0.4316","0.2943","0.2911","0.3258","2.3522","2.3265","2.6035","0.3368"
"050-Arkansas","371-Charlotte NC-SC (NC Part)","14-Metallic ores","1-Truck","0.1254","5.9868","0.1002","0.1202","5.738","0.096","0.1596","0.1584","0.1757","7.6151","7.5576","8.3864","0.1274"
"050-Arkansas","379-Rest of NC","14-Metallic ores","1-Truck","0.1247","1.9918","0.1084","0.1195","1.9091","0.1039","0.1215","0.1208","0.1338","1.9415","1.9297","2.1386","0.1057"
"050-Arkansas","392-Cleveland OH","14-Metallic ores","1-Truck","0.1248","9.1071","0.109","0.1196","8.7287","0.1044","0.1519","0.1506","0.1705","11.0816","10.9861","12.4419","0.1326"
"050-Arkansas","421-Philadelphia PA-NJ-DE-MD (PA Part)","14-Metallic ores","1-Truck","1.0043","9.9776","1.1814","0.9626","9.563","1.1324","0.7529","0.7442","0.8495","7.4798","7.3933","8.4398","0.8857"
"050-Arkansas","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","0.0104","0.0323","0.0097","0.0099","0.031","0.0093","0.0135","0.0133","0.0153","0.0422","0.0417","0.0478","0.0127"
"050-Arkansas","429-Rest of PA","14-Metallic ores","1-Truck","0.3761","71.0629","0.4044","0.3604","68.1098","0.3876","0.295","0.2913","0.3358","55.743","55.0513","63.4599","0.3172"
"050-Arkansas","472-Nashville TN","14-Metallic ores","1-Truck","0.1437","2.1695","0.0595","0.1377","2.0793","0.057","0.4107","0.4051","0.4556","6.1998","6.1159","6.879","0.17"
"050-Arkansas","486-Houston TX","14-Metallic ores","1-Truck","6.013","95.9734","2.7988","5.7631","91.9851","2.6825","4.1692","3.7628","4.7491","66.5442","60.0588","75.7998","1.9406"
"050-Arkansas","489-Rest of TX","14-Metallic ores","1-Truck","0.1244","5.0396","0.0546","0.1193","4.8302","0.0524","0.137","0.1215","0.1578","5.5499","4.9214","6.3931","0.0602"
"050-Arkansas","499-Rest of UT","14-Metallic ores","1-Truck","0.3316","3.9317","0.4465","0.3178","3.7683","0.4279","0.3352","0.3256","0.3901","3.9752","3.8614","4.6261","0.4514"
"050-Arkansas","519-Rest of VA","14-Metallic ores","1-Truck","0.0146","0.2107","0.012","0.014","0.202","0.0115","0.0139","0.0138","0.0156","0.2005","0.1986","0.2251","0.0114"
"050-Arkansas","531-Seattle WA","14-Metallic ores","1-Truck","0.1249","3.9949","0.2782","0.1197","3.8289","0.2666","0.1049","0.1019","0.115","3.3543","3.2598","3.6773","0.2336"
"050-Arkansas","551-Milwaukee WI","14-Metallic ores","1-Truck","0.0082","0.2073","0.006","0.0078","0.1987","0.0057","0.0066","0.0065","0.0072","0.1664","0.1645","0.1832","0.0048"
"050-Arkansas","560-Wyoming","14-Metallic ores","1-Truck","0.9605","7.4292","1.1244","0.9206","7.1205","1.0777","0.8503","0.812","1.0626","6.5769","6.281","8.2187","0.9954"
"061-Los Angeles CA","049-Rest of AZ","14-Metallic ores","1-Truck","23.3462","0.9855","9.8717","22.376","0.9445","9.4615","11.5058","11.295","13.1135","0.4857","0.4768","0.5535","4.8651"
"061-Los Angeles CA","061-Los Angeles CA","14-Metallic ores","1-Truck","316.7245","56.7608","16.9602","303.5628","54.4021","16.2554","248.2454","242.9078","291.6055","44.4886","43.532","52.2592","13.2932"
"061-Los Angeles CA","061-Los Angeles CA","15-Coal","1-Truck","0.9118","0.9118","0.021","0.6611","0.6611","0.0152","0.738","0.7205","0.8871","0.7379","0.7205","0.887","0.017"
"061-Los Angeles CA","064-San Francisco CA","14-Metallic ores","1-Truck","45.8498","63.8199","18.4268","43.9445","61.1678","17.6611","30.3253","29.7838","35.9084","42.2108","41.4571","49.9821","12.1876"
"061-Los Angeles CA","069-Rest of CA","14-Metallic ores","1-Truck","60.9084","1.9946","18.0421","58.3773","1.9117","17.2924","28.3767","27.6873","33.6662","0.9293","0.9067","1.1025","8.4057"
"061-Los Angeles CA","392-Cleveland OH","14-Metallic ores","1-Truck","0.0004","0.0723","0.0009","0.0004","0.0693","0.0009","0.0003","0.0003","0.0003","0.0512","0.0508","0.0576","0.0007"
"063-San Diego CA","041-Phoenix AZ","14-Metallic ores","1-Truck","0.0043","0.7143","0.0017","0.0041","0.6846","0.0016","0.0057","0.0056","0.0065","0.9442","0.9193","1.0754","0.0022"
"063-San Diego CA","049-Rest of AZ","14-Metallic ores","1-Truck","0","0.0001","0","0","0.0001","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0"
"063-San Diego CA","061-Los Angeles CA","14-Metallic ores","1-Truck","0.0459","7.9405","0.0051","0.044","7.6105","0.0049","0.0866","0.0847","0.1017","14.9913","14.669","17.611","0.0097"
"063-San Diego CA","062-Sacramento CA","14-Metallic ores","1-Truck","0.0073","1.2333","0.0039","0.007","1.1821","0.0037","0.008","0.0078","0.0095","1.3506","1.3164","1.6031","0.0043"
"063-San Diego CA","063-San Diego CA","14-Metallic ores","1-Truck","0.0161","3.0349","0.0001","0.0154","2.9087","0.0001","0.0279","0.0273","0.0327","5.2637","5.155","6.1839","0.0002"
"063-San Diego CA","064-San Francisco CA","14-Metallic ores","1-Truck","0.0095","1.9845","0.0047","0.0091","1.902","0.0045","0.0151","0.0149","0.0179","3.1616","3.1051","3.7439","0.0074"
"063-San Diego CA","081-Denver CO","14-Metallic ores","1-Truck","0.0009","0.1778","0.001","0.0009","0.1704","0.0009","0.0011","0.001","0.0013","0.2163","0.1987","0.2525","0.0012"
"063-San Diego CA","124-Tampa FL","14-Metallic ores","1-Truck","0.002","0.3284","0.0048","0.0019","0.3147","0.0046","0.0019","0.0019","0.0021","0.3202","0.316","0.3513","0.0047"
"063-San Diego CA","259-Rest of MA","14-Metallic ores","1-Truck","0.0001","0.0122","0.0002","0.0001","0.0117","0.0002","0.0001","0.0001","0.0001","0.0108","0.0107","0.0118","0.0002"
"063-San Diego CA","499-Rest of UT","14-Metallic ores","1-Truck","0.0056","0.9143","0.0035","0.0054","0.8763","0.0034","0.008","0.0077","0.0093","1.2973","1.2602","1.5116","0.005"
"063-San Diego CA","539-Rest of WA","14-Metallic ores","1-Truck","0.0004","0.081","0.0005","0.0004","0.0777","0.0005","0.0004","0.0003","0.0004","0.0709","0.0688","0.0775","0.0005"
"064-San Francisco CA","061-Los Angeles CA","14-Metallic ores","1-Truck","0.1416","0.0562","0.0564","0.1357","0.0539","0.054","0.2672","0.2615","0.3164","0.1062","0.1039","0.1257","0.1064"
"064-San Francisco CA","064-San Francisco CA","14-Metallic ores","1-Truck","0.9987","19.9681","0.0523","0.9572","19.1383","0.0501","1.5911","1.5627","1.8991","31.8124","31.2443","37.9719","0.0833"
"064-San Francisco CA","069-Rest of CA","14-Metallic ores","1-Truck","97.0856","100.1448","18.7623","93.0512","95.9832","17.9826","108.9508","106.3039","130.2986","112.3839","109.6536","134.4043","21.0553"
"064-San Francisco CA","341-New York NY-NJ-CT-PA (NJ Part)","14-Metallic ores","1-Truck","0.1367","1.3722","0.4021","0.1311","1.3151","0.3854","0.1527","0.1519","0.17","1.5319","1.5246","1.706","0.4489"
"064-San Francisco CA","429-Rest of PA","14-Metallic ores","1-Truck","0.0048","0.0128","0.0135","0.0046","0.0123","0.0129","0.0053","0.0052","0.0061","0.0141","0.014","0.0162","0.0148"
"064-San Francisco CA","539-Rest of WA","14-Metallic ores","1-Truck","9.5319","8.5775","8.2843","9.1358","8.221","7.9401","8.3445","8.0981","9.1917","7.509","7.2872","8.2713","7.2523"
"065-Fresno CA","064-San Francisco CA","14-Metallic ores","1-Truck","0.1045","3.5242","0.0168","0.1002","3.3777","0.0161","0.1665","0.1635","0.1987","5.6145","5.5143","6.701","0.0268"
"065-Fresno CA","065-Fresno CA","14-Metallic ores","1-Truck","0.0585","3.0308","0.0015","0.0561","2.9049","0.0014","0.0479","0.0468","0.0572","2.4819","2.4246","2.9619","0.0012"
"069-Rest of CA","122-Miami FL","14-Metallic ores","1-Truck","0.6206","108.4039","1.8755","0.5948","103.8991","1.7976","0.4001","0.3947","0.4435","69.8869","68.9348","77.4716","1.2091"
"081-Denver CO","061-Los Angeles CA","14-Metallic ores","1-Truck","6.1813","7.0233","6.3116","5.9244","6.7314","6.0494","7.143","6.9894","8.3369","8.116","7.9415","9.4726","7.2937"
"081-Denver CO","081-Denver CO","14-Metallic ores","1-Truck","0.9905","27.0065","0.0364","0.9493","25.8843","0.0349","0.7378","0.6775","0.8555","20.1156","18.4724","23.3274","0.0271"
"081-Denver CO","089-Rest of CO","14-Metallic ores","1-Truck","4.9639","1.3377","0.7371","4.7577","1.2821","0.7064","4.8465","4.4469","5.6447","1.3061","1.1984","1.5212","0.7196"
"081-Denver CO","089-Rest of CO","14-Metallic ores","2-Rail","43.9198","9.9641","6.7968","42.0947","9.55","6.5144","42.8808","39.345","49.9436","9.7284","8.9262","11.3307","6.636"
"081-Denver CO","131-Atlanta GA","14-Metallic ores","1-Truck","1.0736","0.0409","1.5321","1.029","0.0392","1.4685","0.5217","0.5165","0.5817","0.0199","0.0197","0.0222","0.7445"
"081-Denver CO","190-Iowa","14-Metallic ores","1-Truck","13.0318","160.9993","9.6187","12.4903","154.3088","9.219","12.8698","12.7411","14.0694","158.9975","157.4075","173.8187","9.4991"
"081-Denver CO","319-Rest of NE","14-Metallic ores","2-Rail","18.2104","4.8524","4.6704","17.4536","4.6507","4.4763","13.9982","13.8582","15.2773","3.73","3.6927","4.0708","3.5901"
"081-Denver CO","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","0.0193","0.0003","0.0285","0.0185","0.0002","0.0274","0.0216","0.0214","0.0244","0.0003","0.0003","0.0003","0.032"
"089-Rest of CO","012-Mobile AL","15-Coal","2-Rail","0.0256","0.0016","0.0425","0.0215","0.0013","0.0357","0.0152","0.015","0.0169","0.0009","0.0009","0.001","0.0252"
"089-Rest of CO","049-Rest of AZ","15-Coal","1-Truck","65.3523","3.5324","44.486","54.9091","2.9679","37.3772","43.1423","42.3535","49.0702","2.3319","2.2892","2.6523","29.3675"
"089-Rest of CO","049-Rest of AZ","15-Coal","2-Rail","525.7027","15.0046","574.4532","441.6966","12.6069","482.6568","347.0428","340.697","394.7271","9.9053","9.7242","11.2663","379.2254"
"089-Rest of CO","081-Denver CO","14-Metallic ores","1-Truck","2.0091","193.2506","0.3096","1.9256","185.22","0.2967","1.3768","1.2643","1.6036","132.4307","121.6123","154.2429","0.2121"
"089-Rest of CO","081-Denver CO","15-Coal","1-Truck","4.4211","0.1058","0.4695","3.7146","0.0889","0.3944","2.7384","2.5147","3.1878","0.0655","0.0602","0.0763","0.2908"
"089-Rest of CO","081-Denver CO","15-Coal","2-Rail","876.3103","39.4902","156.555","736.2778","33.1797","131.5378","542.7823","498.4378","631.8629","24.46","22.4617","28.4744","96.9694"
"089-Rest of CO","089-Rest of CO","14-Metallic ores","1-Truck","10.0101","187.7992","1.8389","9.5941","179.9951","1.7625","8.9917","8.2503","10.5183","168.6938","154.7837","197.3327","1.6518"
"089-Rest of CO","089-Rest of CO","15-Coal","1-Truck","189.9664","8.8139","17.4001","159.6102","7.4055","14.6196","113.5972","104.2215","132.8908","5.2706","4.8356","6.1658","10.405"
"089-Rest of CO","089-Rest of CO","15-Coal","2-Rail","6035.2443","270.52","1183.8711","5070.8254","227.2915","994.6911","3608.991","3311.125","4221.9495","161.7671","148.4158","189.242","707.9382"
"089-Rest of CO","092-New York NY-NJ-CT-PA (CT Part)","15-Coal","2-Rail","574.5043","15.2257","1282.9926","482.6998","12.7927","1077.9732","279.9329","276.1034","306.4874","7.4189","7.3174","8.1226","625.1507"
"089-Rest of CO","129-Rest of FL","15-Coal","2-Rail","2072.9526","57.4846","4638.307","1741.6993","48.2987","3897.1156","1005.548","989.901","1102.4242","27.8846","27.4507","30.5711","2249.9503"
"089-Rest of CO","171-Chicago IL-IN-WI (IL Part)","15-Coal","2-Rail","397.6647","10.2449","484.4233","334.1187","8.6078","407.0135","199.5674","196.1594","222.7252","5.1414","5.0536","5.738","243.107"
"089-Rest of CO","179-Rest of IL","15-Coal","2-Rail","0.4603","0.0044","0.5596","0.3867","0.0037","0.4701","0.2886","0.284","0.3222","0.0027","0.0027","0.0031","0.3509"
"089-Rest of CO","189-Rest of IN","15-Coal","2-Rail","0.0251","0.0015","0.0352","0.0211","0.0013","0.0296","0.0135","0.0134","0.015","0.0008","0.0008","0.0009","0.0189"
"089-Rest of CO","190-Iowa","14-Metallic ores","1-Truck","17.987","223.051","15.0461","17.2395","213.782","14.4209","16.3429","16.1794","17.9439","202.6627","200.6361","222.517","13.6708"
"089-Rest of CO","190-Iowa","15-Coal","2-Rail","0.0315","0.0019","0.0312","0.0264","0.0016","0.0262","0.0194","0.0192","0.0213","0.0012","0.0012","0.0013","0.0192"
"089-Rest of CO","209-Rest of KS","15-Coal","2-Rail","246.8222","6.7376","203.7818","207.3806","5.661","171.2179","139.5196","132.6352","161.5667","3.8085","3.6206","4.4104","115.1904"
