"dms_orig","dms_dest","sctg2","dms_mode","thousand tons in 2019","million dollars in 2019","million ton-miles in 2019","thousand tons in 2024","million dollars in 2024","million ton-miles in 2024","thousand tons in 2030","thousand tons in 2030_low","thousand tons in 2030_high","million dollars in 2030","million dollars in 2030_low","million dollars in 2030_high","million ton-miles in 2030"
"219-Rest of KY","219-Rest of KY","15-Coal","3-Water","1881.6296","86.8577","788.6177","1317.7938","60.8305","552.3061","1082.0604","1044.4196","1174.0153","49.9489","48.2113","54.1936","453.5069"
"219-Rest of KY","223-New Orleans LA-MS (LA Part)","14-Metallic ores","1-Truck","0.558","0.0312","0.3689","0.5348","0.0299","0.3536","0.1868","0.1816","0.2112","0.0105","0.0102","0.0118","0.1235"
"219-Rest of KY","223-New Orleans LA-MS (LA Part)","15-Coal","3-Water","65.0096","1.9983","81.7033","45.5293","1.3995","57.2207","32.3691","31.4676","36.614","0.995","0.9673","1.1255","40.6812"
"219-Rest of KY","229-Rest of LA","14-Metallic ores","1-Truck","0","0.0084","0","0","0.0081","0","0","0","0","0.0066","0.0064","0.0075","0"
"219-Rest of KY","241-Baltimore MD","15-Coal","2-Rail","795.2014","28.285","545.1194","556.917","19.8093","381.7728","467.5312","465.0616","495.3487","16.6299","16.542","17.6193","320.4979"
"219-Rest of KY","251-Boston MA-RI-NH-CT (MA Part)","14-Metallic ores","1-Truck","2.0591","1.9896","2.0468","1.9735","1.9069","1.9617","1.2821","1.2692","1.3346","1.2388","1.2264","1.2895","1.2744"
"219-Rest of KY","261-Detroit MI","14-Metallic ores","1-Truck","3.9858","0.1234","1.6719","3.8202","0.1182","1.6024","3.6032","3.5635","3.8211","0.1115","0.1103","0.1183","1.5114"
"219-Rest of KY","261-Detroit MI","15-Coal","2-Rail","0.6576","0.5036","0.3156","0.4606","0.3527","0.221","0.3115","0.307","0.3338","0.2386","0.2351","0.2556","0.1495"
"219-Rest of KY","262-Grand Rapids MI","14-Metallic ores","1-Truck","1.747","1.1461","0.8323","1.6744","1.0985","0.7977","0.9077","0.8937","0.9671","0.5955","0.5863","0.6344","0.4325"
"219-Rest of KY","271-Minneapolis-St. Paul MN-WI (MN Part)","14-Metallic ores","1-Truck","0.0794","0.0165","0.067","0.0761","0.0159","0.0642","0.0518","0.051","0.0551","0.0108","0.0106","0.0115","0.0437"
"219-Rest of KY","279-Rest of MN","14-Metallic ores","1-Truck","0.0007","0.0298","0.0007","0.0007","0.0286","0.0006","0.0007","0.0007","0.0007","0.0282","0.0279","0.0299","0.0006"
"219-Rest of KY","292-St. Louis MO-IL (MO Part)","14-Metallic ores","1-Truck","5.0164","2.9853","1.6204","4.8079","2.8613","1.5531","2.6112","2.5743","2.7986","1.554","1.532","1.6655","0.8435"
"219-Rest of KY","299-Rest of MO","14-Metallic ores","1-Truck","2.0256","0.9876","0.826","1.9415","0.9466","0.7917","1.3995","1.3875","1.4968","0.6823","0.6765","0.7298","0.5707"
"219-Rest of KY","329-Rest of NV","14-Metallic ores","1-Truck","0.9005","5.0638","1.7497","0.863","4.8534","1.677","0.7447","0.7181","0.8171","4.1879","4.0384","4.5952","1.4471"
"219-Rest of KY","341-New York NY-NJ-CT-PA (NJ Part)","14-Metallic ores","1-Truck","3.9969","9.967","2.9913","3.8308","9.5528","2.867","2.1959","2.1855","2.3293","5.4759","5.4499","5.8086","1.6434"
